date,open,high,low,close,volume,source,donchian_upper,donchian_lower,atr,breakout_long,breakout_short
2023-05-26,169.77811893122822,171.35743372501645,169.16244559770772,170.53078507506402,7248915,synthetic,,,,False,False
2023-05-29,170.63775041853486,171.84670797845038,168.29498247707207,168.90340900357307,7731932,synthetic,,,,False,False
2023-05-30,169.08056699084347,170.76026523961423,168.75388546800176,170.14588220399534,9332234,synthetic,,,,False,False
2023-05-31,169.71574811329543,171.78707445243668,169.18058140660656,171.7056710351007,6803809,synthetic,,,,False,False
2023-06-01,171.3941962525917,173.02844059655462,166.95653329193772,168.6093231799491,6110791,synthetic,,,,False,False
2023-06-02,168.93415142133037,169.17858631111525,165.31143911981434,166.58705025125633,6189584,synthetic,,,,False,False
2023-06-05,166.58989618739108,167.01993268006822,165.55713879257846,166.82812163209402,11568828,synthetic,,,,False,False
2023-06-06,166.92199286068913,166.9791396121876,165.14125594039473,166.3699551763078,11672426,synthetic,,,,False,False
2023-06-07,166.3578825263353,166.4583645652753,164.6624937639222,166.3831553627623,6549830,synthetic,,,,False,False
2023-06-08,166.59403407594195,166.60484428623295,164.8538615876933,165.0867149904372,6367937,synthetic,,,,False,False
2023-06-09,165.09706017513855,166.69541072413892,164.08389495022644,166.50386232323726,5379369,synthetic,,,,False,False
2023-06-12,166.46821452690875,168.4816939765917,165.2881841448618,167.77202176121213,11715654,synthetic,,,,False,False
2023-06-13,167.89358749147803,168.28919134543614,166.19287926942945,167.9167080734443,9943054,synthetic,,,,False,False
2023-06-14,167.88750918335984,170.71351779708667,166.87930538252925,169.7552331679406,10325871,synthetic,,,2.556130652362422,False,False
2023-06-15,170.00205507972797,170.58502124219282,169.18758259819035,170.54739556251005,7034017,synthetic,,,2.4733669374795686,False,False
2023-06-16,170.28543498281508,170.61812609322226,168.84466524222464,169.20851696855084,9486619,synthetic,,,2.423373645588001,False,False
2023-06-19,169.51725827106557,170.898733345778,169.39017694320444,169.83956314429068,5418666,synthetic,,,2.3710052692765125,False,False
2023-06-20,169.54005174173997,169.8467775595187,168.14041054871063,168.34774512507977,9732132,synthetic,,,2.3235311079573377,False,False
2023-06-21,168.2995259407786,170.3476617736926,168.0582311847348,169.79136555635466,9057597,synthetic,,,2.3210953566002277,False,False
2023-06-22,169.6700847795972,170.35614853419176,169.37048616324134,169.75169669341162,7320320,synthetic,,,2.2257072861966702,False,False
2023-06-23,169.65497711193152,169.88976972651997,169.23325149350714,169.49578711449982,9973285,synthetic,173.02844059655462,164.08389495022644,2.113622353826396,False,False
2023-06-26,169.22205331543663,169.68375550252293,167.07572520032906,168.44882383655803,9524989,synthetic,173.02844059655462,164.08389495022644,2.1489372072812154,False,False
2023-06-27,168.17137297651402,172.49200414966762,166.3962114880871,170.44659342581474,8072989,synthetic,173.02844059655462,164.08389495022644,2.4308554540168807,False,False
2023-06-28,170.4536259621042,170.48350383908104,170.12490936548005,170.23842279234918,6306844,synthetic,173.02844059655462,164.08389495022644,2.2828368125586027,False,False
2023-06-29,170.53139500110734,173.1155504879318,169.21049323107184,169.59118033203262,5164964,synthetic,173.02844059655462,164.08389495022644,2.3987097014372725,False,False
2023-06-30,169.96650776721893,171.0532593300022,168.70402412170785,169.0680785032523,11563938,synthetic,173.1155504879318,164.08389495022644,2.3951758090699204,False,False
2023-07-03,168.88766190112193,170.82285150274916,168.57526503884839,169.9610697655753,6969514,synthetic,173.1155504879318,164.08389495022644,2.38463371298641,False,False
2023-07-04,170.30494693508902,172.36662460518366,169.9805847492633,170.5895922600536,7112553,synthetic,173.1155504879318,164.08389495022644,2.386128079173692,False,False
2023-07-05,171.05021299723657,171.33151393608398,169.34954735420683,171.29696339584441,9767462,synthetic,173.1155504879318,164.08389495022644,2.357259400795367,False,False
2023-07-06,171.27431135844242,172.16449766575653,170.9194231928812,172.03666959765692,6786305,synthetic,173.1155504879318,164.08389495022644,2.2778176202296505,False,False
2023-07-07,172.81179828867786,176.44286950845958,172.11885529678233,175.59538724766608,7630281,synthetic,173.1155504879318,164.08389495022644,2.429844926699151,True,False
2023-07-10,175.83655441003555,176.1972651068135,174.4781924364363,174.9640014276781,9978139,synthetic,176.44286950845958,165.2881841448618,2.3790754798190106,False,False
2023-07-11,175.18932380911926,175.22019895077977,173.885576666714,174.16064197561562,9167630,synthetic,176.44286950845958,166.19287926942945,2.304471680122351,False,False
2023-07-12,174.16409422074167,174.49644232426562,172.4512402842258,172.8677357357113,9595141,synthetic,176.44286950845958,166.3962114880871,2.2859524201164554,False,False
2023-07-13,172.39314593802592,174.57549974496183,171.43334248003202,173.9182432576835,5032695,synthetic,176.44286950845958,166.3962114880871,2.347109909031695,False,False
2023-07-14,173.562707954451,175.8835817672535,173.4800699701607,175.82535533268313,8159092,synthetic,176.44286950845958,166.3962114880871,2.3511386153217733,False,False
2023-07-17,175.6525273433781,176.50567687693322,174.3159138503149,175.67796876173256,8326875,synthetic,176.44286950845958,166.3962114880871,2.3396117875572413,False,False
2023-07-18,175.57663972116052,176.1588386310235,174.28428694156509,174.33033193983343,9427123,synthetic,176.50567687693322,166.3962114880871,2.306393209121612,False,False
2023-07-19,174.39923652154724,175.39579141414825,172.3081921201055,173.01865808341697,6060208,synthetic,176.50567687693322,166.3962114880871,2.362193643758836,False,False
2023-07-20,173.03410821073018,175.99476780044273,171.11270810509117,174.12702439223847,6116451,synthetic,176.50567687693322,166.3962114880871,2.542184076015459,False,False
2023-07-21,174.12398396784454,175.615725124484,174.02188864549103,175.3959948212387,10337021,synthetic,176.50567687693322,166.3962114880871,2.474444961942423,False,False
2023-07-24,175.38903836980447,176.56598388904584,174.4467312465628,176.3404789636518,9713298,synthetic,176.50567687693322,166.3962114880871,2.4490740819810393,False,False
2023-07-25,176.06277036498184,177.23261141110882,174.19030890981267,175.27677314215615,10678276,synthetic,176.56598388904584,166.3962114880871,2.491447540503547,False,False
2023-07-26,175.34854913577922,176.943680859369,174.91974043956483,175.7035322615408,6894274,synthetic,177.23261141110882,168.57526503884839,2.4580541747393068,False,False
2023-07-27,175.08051806689775,177.63895298979048,174.25363478962637,175.93925113047976,11983222,synthetic,177.23261141110882,168.57526503884839,2.524287319412507,False,False
